Year,Province,District,Month,Card_Type,Gender,Age,Total_Cards
2020,Niassa,Sanga,Março,Cartões pré-pagos,Outros*,40322.262365273884,0.0
2020,Niassa,Sanga,Março,Cartões pré-pagos,Mulheres,15789,0.0
2020,Niassa,Sanga,Março,Cartões pré-pagos,Homens,29057,0.0
2020,Niassa,Sanga,Março,Cartões de Débito,Outros*,28261,0.0
2020,Niassa,Sanga,Março,Cartões de Débito,Mulheres,482778,0.0
2020,Niassa,Sanga,Março,Cartões de Débito,Homens,736130,0.0
2020,Niassa,Sanga,Março,Cartões de Crédito,Outros*,2811,0.0
2020,Niassa,Sanga,Março,Cartões de Crédito,Mulheres,18818,0.0
2020,Niassa,Sanga,Março,Cartões de Crédito,Homens,46731,0.0
2020,Niassa,Sanga,Fevereiro,Cartões pré-pagos,Outros*,39202,0.0
2020,Niassa,Sanga,Fevereiro,Cartões pré-pagos,Mulheres,15547,0.0
2020,Niassa,Sanga,Fevereiro,Cartões pré-pagos,Homens,28534,0.0
2020,Niassa,Sanga,Fevereiro,Cartões de Débito,Outros*,27131,0.0
2020,Niassa,Sanga,Fevereiro,Cartões de Débito,Mulheres,459555,0.0
2020,Niassa,Sanga,Fevereiro,Cartões de Débito,Homens,708166,0.0
2020,Niassa,Sanga,Fevereiro,Cartões de Crédito,Outros*,3040,0.0
2020,Niassa,Sanga,Fevereiro,Cartões de Crédito,Mulheres,16368,0.0
2020,Niassa,Sanga,Fevereiro,Cartões de Crédito,Homens,41151,0.0
2020,Niassa,Sanga,Janeiro,Cartões pré-pagos,Outros*,37264,0.0
2020,Niassa,Sanga,Janeiro,Cartões pré-pagos,Mulheres,15195,0.0
2020,Niassa,Sanga,Janeiro,Cartões pré-pagos,Homens,27689,0.0
2020,Niassa,Sanga,Janeiro,Cartões de Débito,Outros*,27451,0.0
2020,Niassa,Sanga,Janeiro,Cartões de Débito,Mulheres,470732,0.0
2020,Niassa,Nipepe,Dezembro,Cartões pré-pagos,Outros*,63570.622803257604,0.0
2020,Niassa,Sanga,Novembro,Cartões de Crédito,Outros*,3206,0.0
2020,Niassa,Sanga,Janeiro,Cartões de Crédito,Mulheres,42107,0.0
2020,Niassa,Sanga,Abril,Cartões de Débito,Homens,696822,0.0
2020,Niassa,Chimbunhila,Fevereiro,Cartões pré-pagos,Homens,28534,0.0
2020,Niassa,Nipepe,Dezembro,Cartões pré-pagos,Mulheres,6849,0.0
2020,Niassa,Nipepe,Dezembro,Cartões pré-pagos,Homens,18167,0.0
2020,Niassa,Nipepe,Dezembro,Cartões de Débito,Outros*,34447,1.0
2020,Niassa,Nipepe,Dezembro,Cartões de Débito,Mulheres,471597,59.0
2020,Niassa,Nipepe,Dezembro,Cartões de Débito,Homens,730289,351.0
2020,Niassa,Nipepe,Dezembro,Cartões de Crédito,Outros*,3146,0.0
2020,Niassa,Nipepe,Dezembro,Cartões de Crédito,Mulheres,19193,2.0
2020,Niassa,Nipepe,Novembro,Cartões de Crédito,Homens,46831,2.0
2020,Niassa,Nipepe,Novembro,Cartões pré-pagos,Outros*,47481,0.0
2020,Niassa,Nipepe,Novembro,Cartões pré-pagos,Mulheres,7099,0.0
2020,Niassa,Nipepe,Novembro,Cartões pré-pagos,Homens,18464,0.0
2020,Niassa,Nipepe,Novembro,Cartões de Débito,Outros*,34030,1.0
2020,Niassa,Nipepe,Novembro,Cartões de Débito,Mulheres,464943,59.0
2020,Niassa,Nipepe,Novembro,Cartões de Débito,Homens,720904,344.0
2020,Niassa,Nipepe,Novembro,Cartões de Crédito,Outros*,3206,0.0
2020,Niassa,Nipepe,Novembro,Cartões de Crédito,Mulheres,19826,2.0
2020,Niassa,Nipepe,Novembro,Cartões de Crédito,Homens,48708,5.0
2020,Niassa,Nipepe,Outubro,Cartões pré-pagos,Outros*,56695,0.0
2020,Niassa,Nipepe,Outubro,Cartões pré-pagos,Mulheres,6692,0.0
2020,Niassa,Nipepe,Outubro,Cartões pré-pagos,Homens,17543,0.0
2020,Niassa,Nipepe,Outubro,Cartões de Débito,Outros*,33690,1.0
2020,Niassa,Nipepe,Outubro,Cartões de Débito,Mulheres,462558,59.0
2020,Niassa,Nipepe,Outubro,Cartões de Débito,Homens,719429,343.0
2020,Niassa,Nipepe,Outubro,Cartões de Crédito,Outros*,2672,0.0
2020,Niassa,Nipepe,Outubro,Cartões de Crédito,Mulheres,19108,2.0
2020,Niassa,Nipepe,Outubro,Cartões de Crédito,Homens,47093,4.0
2020,Niassa,Sanga,Janeiro,Cartões de Crédito,Outros*,2780,0.0
2020,Niassa,Nipepe,Setembro,Cartões pré-pagos,Mulheres,26583,0.0
2020,Niassa,Sanga,Julho,Cartões de Débito,Mulheres,488828,0.0
2020,Niassa,Sanga,Julho,Cartões de Débito,Outros*,32642,0.0
2020,Niassa,N´gauma,Março,Cartões pré-pagos,Mulheres,15789,0.0
2020,Niassa,Nipepe,Setembro,Cartões de Débito,Homens,734571,340.0
2020,Niassa,Nipepe,Setembro,Cartões de Crédito,Outros*,3111,0.0
2020,Niassa,Nipepe,Setembro,Cartões de Crédito,Mulheres,18808,2.0
2020,Niassa,Nipepe,Setembro,Cartões de Crédito,Homens,47193,5.0
2020,Niassa,Nipepe,Agosto,Cartões pré-pagos,Outros*,50823,0.0
2020,Niassa,Nipepe,Agosto,Cartões pré-pagos,Mulheres,16167,0.0
2020,Niassa,Nipepe,Agosto,Cartões pré-pagos,Homens,29715,0.0
2020,Niassa,Nipepe,Agosto,Cartões de Débito,Outros*,33292,1.0
2020,Niassa,Nipepe,Agosto,Cartões de Débito,Mulheres,489029,60.0
2020,Niassa,Nipepe,Agosto,Cartões de Débito,Homens,762057,349.0
2020,Niassa,Nipepe,Agosto,Cartões de Crédito,Outros*,3259,0.0
2020,Niassa,Nipepe,Agosto,Cartões de Crédito,Mulheres,19840,2.0
2020,Niassa,N´gauma,Abril,Cartões de Crédito,Homens,46508,0.0
2020,Niassa,N´gauma,Abril,Cartões de Crédito,Outros*,2765,0.0
2020,Niassa,Nipepe,Julho,Cartões pré-pagos,Mulheres,15942,0.0
2020,Niassa,Nipepe,Julho,Cartões pré-pagos,Homens,29163,0.0
2020,Niassa,Nipepe,Julho,Cartões de Débito,Outros*,32642,1.0
2020,Niassa,Nipepe,Julho,Cartões de Débito,Mulheres,488828,60.0
2020,Niassa,Nipepe,Julho,Cartões de Débito,Homens,760419,349.0
2020,Niassa,Nipepe,Julho,Cartões de Crédito,Outros*,3193,0.0
2020,Niassa,Nipepe,Julho,Cartões de Crédito,Mulheres,19715,2.0
2020,Niassa,Nipepe,Julho,Cartões de Crédito,Homens,48628,6.0
2020,Niassa,Nipepe,Junho,Cartões pré-pagos,Outros*,46916,0.0
2020,Niassa,Nipepe,Junho,Cartões pré-pagos,Mulheres,16034,0.0
2020,Niassa,Nipepe,Junho,Cartões pré-pagos,Homens,29510,0.0
2020,Niassa,Nipepe,Junho,Cartões de Débito,Outros*,30941,1.0
2020,Niassa,Nipepe,Setembro,Cartões de Débito,Mulheres,468743,60.0
2020,Niassa,Nipepe,Agosto,Cartões de Crédito,Homens,48915,4.0
2020,Niassa,Nipepe,Junho,Cartões de Crédito,Outros*,3218,0.0
2020,Niassa,Nipepe,Junho,Cartões de Débito,Mulheres,505537,57.0
2020,Niassa,Nipepe,Maio,Cartões pré-pagos,Homens,29989,0.0
2020,Niassa,Nipepe,Maio,Cartões de Débito,Outros*,29224,1.0
2020,Niassa,Nipepe,Maio,Cartões de Débito,Mulheres,487640,52.0
2020,Niassa,Nipepe,Maio,Cartões de Débito,Homens,744810,330.0
2020,Niassa,Nipepe,Maio,Cartões de Crédito,Outros*,2771,0.0
2020,Niassa,Nipepe,Maio,Cartões de Crédito,Mulheres,18955,2.0
2020,Niassa,Nipepe,Maio,Cartões de Crédito,Homens,47636,4.0
2020,Niassa,Nipepe,Abril,Cartões pré-pagos,Outros*,42499,0.0
2020,Niassa,Nipepe,Abril,Cartões pré-pagos,Mulheres,15964,0.0
2020,Niassa,Nipepe,Abril,Cartões pré-pagos,Homens,29672,0.0
2020,Niassa,Nipepe,Abril,Cartões de Débito,Outros*,28700,1.0
2020,Niassa,Nipepe,Abril,Cartões de Débito,Mulheres,454698,53.0
2020,Niassa,Nipepe,Abril,Cartões de Débito,Homens,696822,331.0
2020,Niassa,Nipepe,Abril,Cartões de Crédito,Outros*,2765,0.0
2020,Niassa,Nipepe,Abril,Cartões de Crédito,Mulheres,18703,2.0
2020,Niassa,Nipepe,Abril,Cartões de Crédito,Homens,46508,4.0
2020,Niassa,Nipepe,Março,Cartões pré-pagos,Outros*,40322.262365273884,0.0
2020,Niassa,Nipepe,Março,Cartões pré-pagos,Mulheres,15789,0.0
2020,Niassa,Nipepe,Março,Cartões pré-pagos,Homens,29057,0.0
2020,Niassa,Nipepe,Março,Cartões de Débito,Outros*,28261,1.0
2020,Niassa,Nipepe,Março,Cartões de Débito,Mulheres,482778,54.0
2020,Niassa,Nipepe,Março,Cartões de Débito,Homens,736130,329.0
2020,Niassa,Nipepe,Março,Cartões de Crédito,Outros*,2811,0.0
2020,Niassa,Nipepe,Março,Cartões de Crédito,Mulheres,18818,2.0
2020,Niassa,Nipepe,Junho,Cartões de Crédito,Mulheres,19942,2.0
2020,Niassa,Nipepe,Março,Cartões de Crédito,Homens,46731,4.0
2020,Niassa,Nipepe,Junho,Cartões de Débito,Homens,778438,341.0
2020,Niassa,Nipepe,Julho,Cartões pré-pagos,Outros*,50239,0.0
2020,Niassa,Mavago,Março,Cartões de Crédito,Outros*,2811,0.0
2020,Niassa,Mavago,Março,Cartões de Crédito,Homens,46731,0.0
2020,Niassa,Nipepe,Fevereiro,Cartões pré-pagos,Homens,28534,0.0
2020,Niassa,Nipepe,Fevereiro,Cartões de Débito,Outros*,27131,1.0
2020,Niassa,Nipepe,Fevereiro,Cartões de Débito,Mulheres,459555,48.0
2020,Niassa,Nipepe,Fevereiro,Cartões de Débito,Homens,708166,312.0
2020,Niassa,Nipepe,Fevereiro,Cartões de Crédito,Outros*,3040,0.0
2020,Niassa,Nipepe,Fevereiro,Cartões de Crédito,Mulheres,16368,2.0
2020,Niassa,Nipepe,Fevereiro,Cartões de Crédito,Homens,41151,3.0
2020,Niassa,Nipepe,Janeiro,Cartões pré-pagos,Outros*,37264,0.0
2020,Niassa,Nipepe,Janeiro,Cartões pré-pagos,Mulheres,15195,0.0
2020,Niassa,Nipepe,Janeiro,Cartões pré-pagos,Homens,27689,0.0
2020,Niassa,Nipepe,Janeiro,Cartões de Débito,Outros*,27451,1.0
2020,Niassa,Nipepe,Janeiro,Cartões de Débito,Mulheres,470732,42.0
2020,Niassa,Nipepe,Janeiro,Cartões de Débito,Homens,736617,291.0
2020,Niassa,Nipepe,Janeiro,Cartões de Crédito,Outros*,2780,0.0
2020,Niassa,Nipepe,Janeiro,Cartões de Crédito,Mulheres,42107,2.0
2020,Niassa,Nipepe,Janeiro,Cartões de Crédito,Homens,86784,5.0
2020,Niassa,N´gauma,Dezembro,Cartões pré-pagos,Outros*,63570.622803257604,0.0
2020,Niassa,N´gauma,Dezembro,Cartões pré-pagos,Mulheres,6849,0.0
2020,Niassa,N´gauma,Dezembro,Cartões pré-pagos,Homens,18167,0.0
2020,Niassa,N´gauma,Dezembro,Cartões de Débito,Outros*,34447,0.0
2020,Niassa,N´gauma,Dezembro,Cartões de Débito,Mulheres,471597,0.0
2020,Niassa,N´gauma,Dezembro,Cartões de Débito,Homens,730289,0.0
2020,Niassa,N´gauma,Dezembro,Cartões de Crédito,Outros*,3146,0.0
2020,Niassa,N´gauma,Dezembro,Cartões de Crédito,Mulheres,19193,0.0
2020,Niassa,N´gauma,Novembro,Cartões de Crédito,Homens,46831,0.0
2020,Niassa,N´gauma,Novembro,Cartões pré-pagos,Outros*,47481,0.0
2020,Niassa,N´gauma,Novembro,Cartões pré-pagos,Mulheres,7099,0.0
2020,Niassa,N´gauma,Novembro,Cartões pré-pagos,Homens,18464,0.0
2020,Niassa,N´gauma,Novembro,Cartões de Débito,Outros*,34030,0.0
