Table,Indicator,Period,Year,Quarter,Value
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões bancários com titular homem (por 100 adultos),2023Q4,2023,Q4,24.00673039521918
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões bancários com titular homem (por 100 adultos),2024Q1,2024,Q1,23.87739544181993
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões bancários com titular homem (por 100 adultos),2024Q2,2024,Q2,24.47460145478474
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões bancários com titular homem (por 100 adultos),2024Q3,2024,Q3,21.917139298140718
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões bancários com titular homem (por 100 adultos),2024Q4,2024,Q4,21.701123538597532
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões bancários com titular homem (por 100 adultos),2025Q1,2025,Q1,21.443168845139745
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões bancários com titular homem (por 100 adultos),2025Q2,2025,Q2,22.32230095424495
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões bancários com titular homem (por 100 adultos),2025Q3,2025,Q3,22.957472234507005
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2020Q1,2020,Q1,17.648827085515848
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2020Q2,2020,Q2,18.513444896531396
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2020Q3,2020,Q3,17.460366741167206
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2020,2020,,17.597971842305775
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2021Q1,2021,Q1,17.40542522880033
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2021Q2,2021,Q2,16.837529037413198
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2021Q3,2021,Q3,17.149615605126144
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2021,2021,,17.175360811232675
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2022Q1,2022,Q1,16.565121148476365
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2022Q2,2022,Q2,16.541966012397133
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2022Q3,2022,Q3,15.454605418669567
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2022,2022,,15.330825990244046
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2023Q1,2023,Q1,17.04613718998226
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2023Q2,2023,Q2,16.30968391468887
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2023Q3,2023,Q3,18.975989549754697
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2023Q4,2023,Q4,17.311197185817093
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2024Q1,2024,Q1,17.36406349380332
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2024Q2,2024,Q2,17.818605250589098
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2024Q3,2024,Q3,15.988781522598478
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2024Q4,2024,Q4,15.950974849142597
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2025Q1,2025,Q1,15.904494611207017
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2025Q2,2025,Q2,16.289119807241757
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de débito (por 100 adultos),2025Q3,2025,Q3,16.804434658270846
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2020Q1,2020,Q1,0.7499015031437292
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2020Q2,2020,Q2,0.7930464548091583
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2020Q3,2020,Q3,0.7343477753024957
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2020,2020,,0.7512632108341095
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2021Q1,2021,Q1,0.8691016113835928
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2021Q2,2021,Q2,0.9098985830106041
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2021Q3,2021,Q3,0.9089952424454626
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2021,2021,,0.6814824686819452
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2022Q1,2022,Q1,0.712436997058091
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2022Q2,2022,Q2,0.6182938445374506
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2022Q3,2022,Q3,0.7049101414095077
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2022,2022,,0.6750785119992444
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2023Q1,2023,Q1,0.6407386875572488
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2023Q2,2023,Q2,0.5994348472552354
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2023Q3,2023,Q3,0.6898406506200618
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2023Q4,2023,Q4,0.5334441571672167
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2024Q1,2024,Q1,0.5788424350152308
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2024Q2,2024,Q2,0.5868062416548618
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2024Q3,2024,Q3,0.5528209109010598
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2024Q4,2024,Q4,0.5454137144029082
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2025Q1,2025,Q1,0.5246114290642127
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2025Q2,2025,Q2,0.5195714578581465
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Cartões de crédito (por 100 adultos),2025Q3,2025,Q3,0.5251433112714101
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2020Q1,2020,Q1,4.10933120785893
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2020Q2,2020,Q2,4.085123071141057
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2020Q3,2020,Q3,4.139591378756271
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2020,2020,,4.139591378756271
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2021Q1,2021,Q1,3.947715586625257
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2021Q2,2021,Q2,3.9535814344508515
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2021Q3,2021,Q3,4.440446803975215
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2021,2021,,4.422849260498431
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2022Q1,2022,Q1,4.263302970418998
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2022Q2,2022,Q2,4.263302970418998
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2022Q3,2022,Q3,4.27479435308859
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2022,2022,,4.27479435308859
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2023Q1,2023,Q1,4.0821272985884764
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2023Q2,2023,Q2,4.010024284218985
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2023Q3,2023,Q3,4.054395230655709
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2023Q4,2023,Q4,4.054395230655709
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2024Q1,2024,Q1,3.9123270521306073
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2024Q2,2024,Q2,3.9123270521306073
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2024Q3,2024,Q3,3.9123270521306073
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2024Q4,2024,Q4,3.923031093312907
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2025Q1,2025,Q1,3.774814499625359
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2025Q2,2025,Q2,3.774814499625359
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agências bancárias (por 100 mil adultos),2025Q3,2025,Q3,3.7644866897768625
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2020Q1,2020,Q1,7.35692617815042
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2020Q2,2020,Q2,7.35692617815042
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2020Q3,2020,Q3,7.455018527192425
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2020,2020,,7.373274902990754
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2021Q1,2021,Q1,6.902053894374105
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2021Q2,2021,Q2,6.980486324991992
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2021Q3,2021,Q3,6.415772824543202
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2021,2021,,7.670691714429403
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2022Q1,2022,Q1,7.498199495763288
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2022Q2,2022,Q2,7.513564658664442
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2022Q3,2022,Q3,7.544294984466751
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2022,2022,,7.544294984466751
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2023Q1,2023,Q1,7.1787519621056815
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2023Q2,2023,Q2,6.882108298280067
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2023Q3,2023,Q3,6.985933207952395
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2023Q4,2023,Q4,7.015597467858774
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2024Q1,2024,Q1,7.981132062710054
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2024Q2,2024,Q2,7.981132062710054
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2024Q3,2024,Q3,7.981132062710054
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2024Q4,2024,Q4,7.981132062710054
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2025Q1,2025,Q1,6.439912613660365
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2025Q2,2025,Q2,6.439912613660365
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2025Q3,2025,Q3,6.412624848348243
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2020Q1,2020,Q1,2.2005086153755973
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2020Q2,2020,Q2,2.16207178366598
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2020Q3,2020,Q3,2.1908994074481933
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2020,2020,,2.238945447085215
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2021Q1,2021,Q1,2.1830951604621793
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2021Q2,2021,Q2,2.1456171319563904
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2021Q3,2021,Q3,3.2605884800035976
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2021,2021,,2.482919388508487
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2022Q1,2022,Q1,2.3311056759608104
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2022Q2,2022,Q2,2.32192809455939
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2022Q3,2022,Q3,2.32192809455939
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2022,2022,,2.32192809455939
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2023Q1,2023,Q1,2.232519373307006
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2023Q2,2023,Q2,2.294533597065903
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2023Q3,2023,Q3,2.3033928001433774
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2023Q4,2023,Q4,2.2856743939884283
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2024Q1,2024,Q1,2.0280983234596004
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2024Q2,2024,Q2,2.0280983234596004
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2024Q3,2024,Q3,2.0280983234596004
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2024Q4,2024,Q4,2.0437593143743467
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2025Q1,2025,Q1,2.151895936638878
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2025Q2,2025,Q2,2.151895936638878
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2025Q3,2025,Q3,2.151895936638878
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2020Q1,2020,Q1,6.185178931416533
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2020Q2,2020,Q2,6.185178931416533
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2020Q3,2020,Q3,6.22754317067281
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2020,2020,,8.152090039743708
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2021Q1,2021,Q1,7.959955499332056
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2021Q2,2021,Q2,8.012748129762409
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2021Q3,2021,Q3,7.971687194983246
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2021,2021,,6.446566760328614
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2022Q1,2022,Q1,6.596053652346373
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2022Q2,2022,Q2,12.881839972613736
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2022Q3,2022,Q3,12.881839972613736
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2022,2022,,12.881839972613736
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2023Q1,2023,Q1,10.421626622347484
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2023Q2,2023,Q2,8.8852820239541
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2023Q3,2023,Q3,5.563007409504346
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2023Q4,2023,Q4,5.563007409504346
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2024Q1,2024,Q1,5.45906100297294
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2024Q2,2024,Q2,5.45906100297294
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2024Q3,2024,Q3,5.45906100297294
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2024Q4,2024,Q4,5.45906100297294
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2025Q1,2025,Q1,5.267183022733058
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2025Q2,2025,Q2,5.267183022733058
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes bancários (por 100 mil adultos),2025Q3,2025,Q3,1.549171477274429
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2020Q1,2020,Q1,13.781975040401786
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2020Q2,2020,Q2,13.781975040401786
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2020Q3,2020,Q3,13.458270288563167
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2020,2020,,15.923657994485575
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2021Q1,2021,Q1,15.39206463718086
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2021Q2,2021,Q2,15.655113151330356
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2021Q3,2021,Q3,13.97665913610756
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2021,2021,,12.627621329479895
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2022Q1,2022,Q1,11.109012777534543
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2022Q2,2022,Q2,23.81600249678913
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2022Q3,2022,Q3,23.81600249678913
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2022,2022,,23.81600249678913
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2023Q1,2023,Q1,19.192779006125523
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2023Q2,2023,Q2,16.433999988134296
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2023Q3,2023,Q3,9.53705955990104
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2023Q4,2023,Q4,9.52222742994785
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2024Q1,2024,Q1,11.092420832919059
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2024Q2,2024,Q2,11.092420832919059
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2024Q3,2024,Q3,11.092420832919059
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2024Q4,2024,Q4,10.990965764325287
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2025Q1,2025,Q1,8.950387022375422
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2025Q2,2025,Q2,8.950387022375422
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Urbano (por 100 mil adultos),2025Q3,2025,Q3,2.701488765899899
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2020Q1,2020,Q1,1.7200482190053796
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2020Q2,2020,Q2,1.7200482190053796
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2020Q3,2020,Q3,1.9775749914598162
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2020,2020,,3.5842345569218246
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2021Q1,2021,Q1,3.5207714154636975
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2021Q2,2021,Q2,3.44797862253254
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2021Q3,2021,Q3,4.384929335177252
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2021,2021,,2.7546350951754537
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2022Q1,2022,Q1,3.900472095603718
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2022Q2,2022,Q2,6.350886329782996
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2022Q3,2022,Q3,6.350886329782996
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2022,2022,,6.350886329782996
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2023Q1,2023,Q1,5.182634259462693
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2023Q2,2023,Q2,4.376446320272417
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2023Q3,2023,Q3,3.1893131078908303
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2023Q4,2023,Q4,3.1981723109683045
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2024Q1,2024,Q1,2.850300346483763
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2024Q2,2024,Q2,2.850300346483763
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2024Q3,2024,Q3,2.850300346483763
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2024Q4,2024,Q4,2.8972833192280008
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2025Q1,2025,Q1,3.024286181222207
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2025Q2,2025,Q2,3.024286181222207
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Rural (por 100 mil adultos),2025Q3,2025,Q3,0.8474648090238054
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes de IME (por 100 mil adultos),2020Q1,2020,Q1,364.4958625268332
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes de IME (por 100 mil adultos),2020Q2,2020,Q2,380.26141156434795
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes de IME (por 100 mil adultos),2020Q3,2020,Q3,398.24200511154805
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes de IME (por 100 mil adultos),2020,2020,,420.9068731136566
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes de IME (por 100 mil adultos),2021Q1,2021,Q1,427.5323187684723
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes de IME (por 100 mil adultos),2021Q2,2021,Q2,471.2446167648043
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes de IME (por 100 mil adultos),2021Q3,2021,Q3,527.1520123905477
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes de IME (por 100 mil adultos),2021,2021,,555.4781915403447
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes de IME (por 100 mil adultos),2022Q1,2022,Q1,601.9588440726242
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes de IME (por 100 mil adultos),2022Q2,2022,Q2,685.8459375606529
TABELA 2: INDICADORES DE ACESSO DEMOGRÁFICO,Agentes de IME (por 100 mil adultos),2022Q3,2022,Q3,729.9096444072072
